timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1689755933511,1177,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,1177,0,899
1689755934688,271,GET All Activities,200,OK,Starter 1-1,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,271,0,0
1689755933843,1149,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,1149,0,847
1689755934959,289,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/5,289,0,0
1689755934993,307,GET All Activities,200,OK,Starter 1-2,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,307,0,0
1689755934176,1124,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/3,1124,0,825
1689755935249,288,GET All Activities,200,OK,Starter 1-1,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,288,0,0
1689755935300,309,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/3,309,0,0
1689755935300,310,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,310,0,0
1689755935537,274,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/5,274,0,0
1689755935609,266,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,266,0,0
1689755935609,320,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,320,0,0
1689755935811,268,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/3,268,0,0
1689755935875,277,GET All Activities,200,OK,Starter 1-3,text,true,,676,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,277,0,0
1689755935930,294,GET All Activities,200,OK,Starter 1-2,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/5,294,0,0
1689755936081,268,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,268,0,0
1689755936152,274,GET All Activities,200,OK,Starter 1-3,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,274,0,0
1689755936225,308,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/3,308,0,0
1689755936349,284,GET All Activities,200,OK,Starter 1-1,text,true,,678,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,284,0,0
1689755936426,273,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/5,273,0,0
1689755936534,280,GET All Activities,200,OK,Starter 1-2,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/1,280,0,0
1689755936634,316,GET All Activities,200,OK,Starter 1-1,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/2,316,0,0
1689755936699,265,GET All Activities,200,OK,Starter 1-3,text,true,,678,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/3,265,0,0
1689755936814,388,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/4,388,0,0
1689755936951,316,GET All Activities,200,OK,Starter 1-1,text,true,,680,177,3,3,https://myweebapp0511c.azurewebsites.net/api/Activities/5,316,0,0
1689755936965,309,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,2,2,https://myweebapp0511c.azurewebsites.net/api/Activities/1,309,0,0
1689755937203,285,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,2,2,https://myweebapp0511c.azurewebsites.net/api/Activities/2,285,0,0
1689755937274,280,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,2,2,https://myweebapp0511c.azurewebsites.net/api/Activities/3,280,0,0
1689755937489,282,GET All Activities,200,OK,Starter 1-2,text,true,,679,177,2,2,https://myweebapp0511c.azurewebsites.net/api/Activities/4,282,0,0
1689755937554,266,GET All Activities,200,OK,Starter 1-3,text,true,,680,177,1,1,https://myweebapp0511c.azurewebsites.net/api/Activities/5,266,0,0
